sample_id,condition,concentration,replicate,g_peak_before,g_peak_after
Sample_01,Ref_1M,1M,93,1588.6,1589.4
Sample_02,Fmn1_1M,1M,92,1589.7,1589.4
Sample_03,Ref_100mM,100mM,88,1588.0,1588.5
Sample_04,Fmn1_100mM,100mM,87,1587.7,1587.0
Sample_05,Ref_100mM,100mM,85,1589.3,1588.2
Sample_06,Fmn1_100mM,100mM,84,1587.6,1586.7
Sample_07,Ref_10mM,10mM,76,1590.0,1587.8
Sample_08,Fmn1_10mM,10mM,75,1588.0,1586.5
Sample_09,Ref_10mM,10mM,73,1588.4,1588.6
Sample_10,Fmn1_10mM,10mM,72,1588.8,1588.4
Sample_11,Ref_1mM,1mM,68,1589.3,1586.5
Sample_12,Fmn1_1mM,1mM,67,1588.4,1586.6
Sample_13,Ref_1mM,1mM,65,1588.9,1588.3
Sample_14,Fmn1_1mM,1mM,64,1588.1,1589.1
Sample_15,Ref_1M,1M,91,1589.3,1588.0
Sample_16,Fmn1_1M,1M,90,1589.3,1589.1
Sample_17,Ref_100mM,100mM,83,1587.7,1585.2
Sample_18,Fmn1_100mM,100mM,82,1590.4,1589.6
Sample_19,Ref_10mM,10mM,71,1588.4,1586.8
Sample_20,Fmn1_10mM,10mM,70,1589.6,1589.9
